DATO:,GEBYRER:,TERMINBELOP:,RENTER:,AVDRAG:,RESTBELOP:
Thu Feb 01 2024 01:00:00 GMT+0100 (GMT+01:00),30,81702.79065385353,52937.15846994549,28735.632183908045,8591954.02298853
Fri Mar 01 2024 01:00:00 GMT+0100 (GMT+01:00),30,78122.41724766046,49356.78506375242,28735.632183908045,8563218.390804622
Mon Apr 01 2024 02:00:00 GMT+0200 (GMT+02:00),30,81349.87626405392,52584.24408014587,28735.632183908045,8534482.758620715
Wed May 01 2024 02:00:00 GMT+0200 (GMT+02:00),30,79482.84529866229,50717.213114754246,28735.632183908045,8505747.126436807
Sat Jun 01 2024 02:00:00 GMT+0200 (GMT+02:00),30,80996.96187425428,52231.32969034624,28735.632183908045,8477011.4942529
Mon Jul 01 2024 02:00:00 GMT+0200 (GMT+02:00),30,79141.31524401749,50375.68306010944,28735.632183908045,8448275.862068992
Thu Aug 01 2024 02:00:00 GMT+0200 (GMT+02:00),30,80644.04748445466,51878.41530054661,28735.632183908045,8419540.229885085
Sun Sep 01 2024 02:00:00 GMT+0200 (GMT+02:00),30,80467.59028955485,51701.9581056468,28735.632183908045,8390804.597701177
Tue Oct 01 2024 02:00:00 GMT+0200 (GMT+02:00),30,78629.02016205028,49863.38797814223,28735.632183908045,8362068.9655172685
Fri Nov 01 2024 01:00:00 GMT+0100 (GMT+01:00),30,80114.67589975521,51349.04371584716,28735.632183908045,8333333.33333336
Sun Dec 01 2024 01:00:00 GMT+0100 (GMT+01:00),30,78287.49010740548,49521.85792349743,28735.632183908045,8304597.701149452
Wed Jan 01 2025 01:00:00 GMT+0100 (GMT+01:00),30,79761.76150995556,50996.129326047514,28735.632183908045,8275862.068965543
Sat Feb 01 2025 01:00:00 GMT+0100 (GMT+01:00),30,79724.53629349725,50958.9041095892,28735.632183908045,8247126.436781635
Sat Mar 01 2025 01:00:00 GMT+0100 (GMT+01:00),30,74633.21209258398,45867.579908675936,28735.632183908045,8218390.804597726
Tue Apr 01 2025 02:00:00 GMT+0200 (GMT+02:00),30,79370.65501495842,50605.02283105037,28735.632183908045,8189655.172413818
Thu May 01 2025 02:00:00 GMT+0200 (GMT+02:00),30,77567.00204692189,48801.369863013846,28735.632183908045,8160919.540229909
Sun Jun 01 2025 02:00:00 GMT+0200 (GMT+02:00),30,79016.77373641961,50251.14155251156,28735.632183908045,8132183.908046001
Tue Jul 01 2025 02:00:00 GMT+0200 (GMT+02:00),30,77224.53629349722,48458.90410958918,28735.632183908045,8103448.275862092
Fri Aug 01 2025 02:00:00 GMT+0200 (GMT+02:00),30,78662.89245788078,49897.26027397274,28735.632183908045,8074712.643678184
Mon Sep 01 2025 02:00:00 GMT+0200 (GMT+02:00),30,78485.95181861139,49720.31963470334,28735.632183908045,8045977.011494275
Wed Oct 01 2025 02:00:00 GMT+0200 (GMT+02:00),30,76710.83766336023,47945.20547945218,28735.632183908045,8017241.379310367
Sat Nov 01 2025 01:00:00 GMT+0100 (GMT+01:00),30,78132.07054007256,49366.43835616451,28735.632183908045,7988505.747126458
